Zeit;Normalkraft
1047;1,967102E+16
104702;1,964052E+16
104704;1,967102E+16
104706;1,976252E+15
104708;1,964052E+16
10471;1,954902E+15
104712;1,976252E+15
104714;1,976252E+15
104716;1,961002E+16
104718;1,961002E+16
10472;1,973202E+15
104722;1,976252E+15
104724;1,961002E+16
104726;1,967102E+16
104728;1,976252E+15
10473;1,964052E+16
104732;1,970152E+16
104734;1,973202E+15
104736;1,973202E+15
104738;1,967102E+16
10474;1,964052E+16
104742;1,970152E+16
104744;1,970152E+16
104746;1,961002E+16
104748;1,967102E+16
10475;1,967102E+16
104752;1,976252E+15
104754;1,964052E+16
104756;1,976252E+15
104758;1,961002E+16
10476;1,961002E+16
104762;1,979302E+16
104764;1,970152E+16
104766;1,970152E+16
104768;1,964052E+16
10477;1,957952E+15
104772;1,964052E+16
104774;1,970152E+16
104776;1,957952E+15
104778;1,967102E+16
10478;1,973202E+15
104782;1,970152E+16
104784;1,957952E+15
104786;1,970152E+16
104788;1,964052E+16
10479;1,964052E+16
104792;1,957952E+15
104794;1,967102E+16
104796;1,970152E+16
104798;1,961002E+16
1048;1,964052E+16
104802;1,979302E+16
104804;1,961002E+16
104806;1,961002E+16
104808;1,970152E+16
10481;1,964052E+16
104812;1,970152E+16
104814;1,957952E+15
104816;1,954902E+15
104818;1,964052E+16
10482;1,961002E+16
104822;1,976252E+15
104824;1,967102E+16
104826;1,967102E+16
104828;1,961002E+16
10483;1,970152E+16
104832;1,979302E+16
104834;1,951853E+16
104836;1,954902E+15
104838;1,970152E+16
10484;1,964052E+16
104842;1,964052E+16
104844;1,964052E+16
104846;1,964052E+16
104848;1,964052E+16
10485;1,964052E+16
104852;1,954902E+15
104854;1,973202E+15
104856;1,957952E+15
104858;1,954902E+15
10486;1,970152E+16
104862;1,964052E+16
104864;1,957952E+15
104866;1,967102E+16
104868;1,970152E+16
10487;1,961002E+16
104872;1,954902E+15
104874;1,967102E+16
104876;1,967102E+16
104878;1,964052E+16
10488;1,957952E+15
104882;1,967102E+16
104884;1,970152E+16
104886;1,961002E+16
104888;1,961002E+16
10489;1,970152E+16
104892;1,961002E+16
104894;1,964052E+16
104896;1,967102E+16
104898;1,964052E+16
1049;1,964052E+16
104902;1,954902E+15
104904;1,967102E+16
104906;1,973202E+15
104908;1,961002E+16
10491;1,954902E+15
104912;1,957952E+15
104914;1,970152E+16
104916;1,964052E+16
104918;1,970152E+16
10492;1,973202E+15
104922;1,967102E+16
104924;1,961002E+16
104926;1,964052E+16
104928;1,970152E+16
10493;1,957952E+15
104932;1,961002E+16
104934;1,967102E+16
104936;1,973202E+15
104938;1,964052E+16
10494;1,961002E+16
104942;1,970152E+16
104944;1,967102E+16
104946;1,957952E+15
104948;1,967102E+16
10495;1,979302E+16
104952;1,970152E+16
104954;1,961002E+16
104956;1,967102E+16
104958;1,967102E+16
10496;1,961002E+16
104962;1,948803E+16
104964;1,973202E+15
104966;1,970152E+16
104968;1,954902E+15
10497;1,961002E+16
104972;1,967102E+16
104974;1,951853E+16
104976;1,964052E+16
104978;1,967102E+16
10498;1,964052E+16
104982;1,964052E+16
104984;1,964052E+16
104986;1,964052E+16
104988;1,973202E+15
10499;1,961002E+16
104992;1,976252E+15
104994;1,970152E+16
104996;1,961002E+16
104998;1,964052E+16
105;1,970152E+16
105002;1,970152E+16
105004;1,954902E+15
105006;1,964052E+16
105008;1,967102E+16
10501;1,979302E+16
105012;1,964052E+16
105014;1,967102E+16
105016;1,970152E+16
105018;1,967102E+16
10502;1,951853E+16
105022;1,976252E+15
105024;1,967102E+16
105026;1,961002E+16
105028;1,961002E+16
10503;1,967102E+16
105032;1,979302E+16
105034;1,957952E+15
105036;1,961002E+16
105038;1,976252E+15
10504;1,967102E+16
105042;1,979302E+16
105044;1,967102E+16
105046;1,970152E+16
105048;1,961002E+16
10505;1,954902E+15
105052;1,962527E+16
105054;1,970152E+16
105056;1,957952E+15
105058;1,964052E+16
10506;1,976252E+15
105062;1,967102E+16
105064;1,961002E+16
105066;1,967102E+16
105068;1,964052E+16
10507;1,961002E+16
105072;1,964052E+16
105074;1,967102E+16
105076;1,970152E+16
105078;1,964052E+16
10508;1,957952E+15
105082;1,961002E+15
105084;1,964052E+16
105086;1,964052E+16
105088;1,967102E+16
10509;1,967102E+16
105092;1,964052E+16
105094;1,957952E+15
105096;1,964052E+16
105098;1,970152E+16
1051;1,957952E+15
105102;1,954902E+15
105104;1,970152E+16
105106;1,967102E+16
105108;1,951853E+16
10511;1,954902E+15
105112;1,954902E+15
105114;1,961002E+16
105116;1,957952E+15
105118;1,964052E+16
10512;1,964052E+16
105122;1,959477E+16
105124;1,954902E+15
105126;1,964052E+16
105128;1,967102E+16
10513;1,957952E+15
105132;1,961002E+15
105134;1,964052E+16
105136;1,954902E+15
105138;1,957952E+15
10514;1,967102E+16
105142;1,954902E+15
105144;1,957952E+15
105146;1,961002E+16
105148;1,973202E+15
10515;1,967102E+16
105152;1,951853E+16
105154;1,961002E+16
105156;1,970152E+16
105158;1,961002E+16
10516;1,957952E+15
105162;1,964052E+16
105164;1,970152E+16
105166;1,954902E+15
